citant,cite,citant_etiquette,cite_etiquette
porter1965,blishen1958,"Porter, 1965","Blishen, 1958"
vaillancourt1996,boulet1980,"Vaillancourt, 1996","Boulet, 1980"
vaillancourt1996,carliner1981,"Vaillancourt, 1996","Carliner, 1981"
vaillancourt1996,chiswick1988,"Vaillancourt, 1996","Chiswick et Miller, 1988"
vaillancourt1996,grenier1987,"Vaillancourt, 1996","Grenier, 1987"
vaillancourt1996,levine1990,"Vaillancourt, 1996","Levine, 1990"
vaillancourt1996,lieberson1970,"Vaillancourt, 1996","Lieberson, 1970"
vaillancourt1996,porter1965,"Vaillancourt, 1996","Porter, 1965"
vaillancourt1996,raynauld1966,"Vaillancourt, 1996","Raynauld et al., 1966"
vaillancourt1996,rcbb1969,"Vaillancourt, 1996","Commission B-B, 1969"
vaillancourt1996,vaillancourt1980,"Vaillancourt, 1996","Vaillancourt, 1980"
vaillancourt1996,vaillancourt1988,"Vaillancourt, 1996","Vaillancourt, 1988"
rcbb1969,blishen1958,"Commission B-B, 1969","Blishen, 1958"
rcbb1969,porter1965,"Commission B-B, 1969","Porter, 1965"
rcbb1969,raynauld1966,"Commission B-B, 1969","Raynauld et al., 1966"
levine1990,boulet1980,"Levine, 1990","Boulet, 1980"
levine1990,carliner1981,"Levine, 1990","Carliner, 1981"
levine1990,grenier1987,"Levine, 1990","Grenier, 1987"
levine1990,lieberson1970,"Levine, 1990","Lieberson, 1970"
levine1990,porter1965,"Levine, 1990","Porter, 1965"
levine1990,raynauld1966,"Levine, 1990","Raynauld et al., 1966"
levine1990,rcbb1969,"Levine, 1990","Commission B-B, 1969"
levine1990,vaillancourt1980,"Levine, 1990","Vaillancourt, 1980"
levine1990,vaillancourt1988,"Levine, 1990","Vaillancourt, 1988"
vaillancourt2007,boulet1980,"Vaillancourt et al., 2007","Boulet, 1980"
vaillancourt2007,carliner1981,"Vaillancourt et al., 2007","Carliner, 1981"
vaillancourt2007,chiswick1988,"Vaillancourt et al., 2007","Chiswick et Miller, 1988"
vaillancourt2007,grenier1987,"Vaillancourt et al., 2007","Grenier, 1987"
vaillancourt2007,levine1990,"Vaillancourt et al., 2007","Levine, 1990"
vaillancourt2007,raynauld1966,"Vaillancourt et al., 2007","Raynauld et al., 1966"
vaillancourt2007,rcbb1969,"Vaillancourt et al., 2007","Commission B-B, 1969"
vaillancourt2007,shapiro1997,"Vaillancourt et al., 2007","Shapiro et Stelcner, 1997"
vaillancourt2007,vaillancourt1980,"Vaillancourt et al., 2007","Vaillancourt, 1980"
vaillancourt2007,vaillancourt1988,"Vaillancourt et al., 2007","Vaillancourt, 1988"
vaillancourt2007,vaillancourt1996,"Vaillancourt et al., 2007","Vaillancourt, 1996"
lieberson1970,blishen1958,"Lieberson, 1970","Blishen, 1958"
lieberson1970,porter1965,"Lieberson, 1970","Porter, 1965"
lieberson1970,raynauld1966,"Lieberson, 1970","Raynauld et al., 1966"
lieberson1970,rcbb1969,"Lieberson, 1970","Commission B-B, 1969"
albouy2008,boulet1980,"Albouy, 2008","Boulet, 1980"
albouy2008,carliner1981,"Albouy, 2008","Carliner, 1981"
albouy2008,chiswick1988,"Albouy, 2008","Chiswick et Miller, 1988"
albouy2008,grenier1987,"Albouy, 2008","Grenier, 1987"
albouy2008,levine1990,"Albouy, 2008","Levine, 1990"
albouy2008,lieberson1970,"Albouy, 2008","Lieberson, 1970"
albouy2008,rcbb1969,"Albouy, 2008","Commission B-B, 1969"
albouy2008,shapiro1997,"Albouy, 2008","Shapiro et Stelcner, 1997"
albouy2008,vaillancourt1980,"Albouy, 2008","Vaillancourt, 1980"
albouy2008,vaillancourt1988,"Albouy, 2008","Vaillancourt, 1988"
albouy2008,vaillancourt1996,"Albouy, 2008","Vaillancourt, 1996"
albouy2008,vaillancourt2007,"Albouy, 2008","Vaillancourt et al., 2007"
carliner1981,boulet1980,"Carliner, 1981","Boulet, 1980"
carliner1981,lieberson1970,"Carliner, 1981","Lieberson, 1970"
carliner1981,raynauld1966,"Carliner, 1981","Raynauld et al., 1966"
carliner1981,rcbb1969,"Carliner, 1981","Commission B-B, 1969"
shapiro1997,boulet1980,"Shapiro et Stelcner, 1997","Boulet, 1980"
shapiro1997,carliner1981,"Shapiro et Stelcner, 1997","Carliner, 1981"
shapiro1997,chiswick1988,"Shapiro et Stelcner, 1997","Chiswick et Miller, 1988"
shapiro1997,grenier1987,"Shapiro et Stelcner, 1997","Grenier, 1987"
shapiro1997,levine1990,"Shapiro et Stelcner, 1997","Levine, 1990"
shapiro1997,raynauld1966,"Shapiro et Stelcner, 1997","Raynauld et al., 1966"
shapiro1997,rcbb1969,"Shapiro et Stelcner, 1997","Commission B-B, 1969"
shapiro1997,vaillancourt1980,"Shapiro et Stelcner, 1997","Vaillancourt, 1980"
shapiro1997,vaillancourt1988,"Shapiro et Stelcner, 1997","Vaillancourt, 1988"
shapiro1997,vaillancourt1996,"Shapiro et Stelcner, 1997","Vaillancourt, 1996"
vaillancourt1980,blishen1958,"Vaillancourt, 1980","Blishen, 1958"
vaillancourt1980,lieberson1970,"Vaillancourt, 1980","Lieberson, 1970"
vaillancourt1980,porter1965,"Vaillancourt, 1980","Porter, 1965"
vaillancourt1980,raynauld1966,"Vaillancourt, 1980","Raynauld et al., 1966"
vaillancourt1980,rcbb1969,"Vaillancourt, 1980","Commission B-B, 1969"
christofides2010,albouy2008,"Christofides et Swidinsky, 2010","Albouy, 2008"
christofides2010,boulet1980,"Christofides et Swidinsky, 2010","Boulet, 1980"
christofides2010,carliner1981,"Christofides et Swidinsky, 2010","Carliner, 1981"
christofides2010,chiswick1988,"Christofides et Swidinsky, 2010","Chiswick et Miller, 1988"
christofides2010,grenier1987,"Christofides et Swidinsky, 2010","Grenier, 1987"
christofides2010,nadeau2010,"Christofides et Swidinsky, 2010","Nadeau, 2010"
christofides2010,shapiro1997,"Christofides et Swidinsky, 2010","Shapiro et Stelcner, 1997"
christofides2010,vaillancourt1980,"Christofides et Swidinsky, 2010","Vaillancourt, 1980"
christofides2010,vaillancourt1996,"Christofides et Swidinsky, 2010","Vaillancourt, 1996"
christofides2010,vaillancourt2007,"Christofides et Swidinsky, 2010","Vaillancourt et al., 2007"
grenier1987,boulet1980,"Grenier, 1987","Boulet, 1980"
grenier1987,carliner1981,"Grenier, 1987","Carliner, 1981"
grenier1987,rcbb1969,"Grenier, 1987","Commission B-B, 1969"
grenier1987,vaillancourt1980,"Grenier, 1987","Vaillancourt, 1980"
bourhis2019,bourhis2017,"Bourhis, 2019","Bourhis et Sioufi, 2017"
bourhis2019,floch2012,"Bourhis, 2019","Floch et Pocock, 2012"
bourhis2019,levine1990,"Bourhis, 2019","Levine, 1990"
bourhis2019,lieberson1970,"Bourhis, 2019","Lieberson, 1970"
bourhis2019,rcbb1969,"Bourhis, 2019","Commission B-B, 1969"
bourhis2019,vaillancourt1996,"Bourhis, 2019","Vaillancourt, 1996"
bourhis2019,vaillancourt2007,"Bourhis, 2019","Vaillancourt et al., 2007"
bourhis2019,vaillancourt2013,"Bourhis, 2019","Vaillancourt et al., 2013"
nadeau2010,albouy2008,"Nadeau, 2010","Albouy, 2008"
nadeau2010,boulet1980,"Nadeau, 2010","Boulet, 1980"
nadeau2010,carliner1981,"Nadeau, 2010","Carliner, 1981"
nadeau2010,chiswick1988,"Nadeau, 2010","Chiswick et Miller, 1988"
nadeau2010,christofides2010,"Nadeau, 2010","Christofides et Swidinsky, 2010"
nadeau2010,grenier1987,"Nadeau, 2010","Grenier, 1987"
nadeau2010,rcbb1969,"Nadeau, 2010","Commission B-B, 1969"
nadeau2010,shapiro1997,"Nadeau, 2010","Shapiro et Stelcner, 1997"
nadeau2010,vaillancourt1980,"Nadeau, 2010","Vaillancourt, 1980"
nadeau2010,vaillancourt1988,"Nadeau, 2010","Vaillancourt, 1988"
